_id,phoneNumber,fakePhoneNumber,_class
ebdce3da-e30c-494a-ac6a-63c9bab2c107,qpYF8KFdNGpKLdAP/SV6qQ==,5077017660,cp.model.PhoneNumberMask
fbccb8e9-ea28-46fe-8d5e-fdfb3816e0c1,ipc0xDgr8sskdK2i0sFMow==,9446982529,cp.model.PhoneNumberMask
acba3c29-4790-41fd-915a-e68fc3e23c83,6YCkvTIjsNmUVTk2uLiK7A==,5133254268,cp.model.PhoneNumberMask
6cd80b42-2a06-4af1-b8f6-62888addfeb7,elsu9oWH9Smn7uiGtQ1rKw==,3068162282,cp.model.PhoneNumberMask
958b513e-76de-49f8-bb0b-0642fe81dffc,y/vsExgb5X02Rf40oyw7rQ==,2965421623,cp.model.PhoneNumberMask
a843e7eb-b8f5-4417-b5e9-ca1eeaf795b7,6UNtkT4p1wb3mCoUixbU8g==,7207820510,cp.model.PhoneNumberMask
1c97dc39-3ad6-44b0-801e-3fa76eed0d5a,2UmtDCpMGJh8qOpCebDgGg==,1203848724,cp.model.PhoneNumberMask
54a7e7a0-a733-4a42-94d4-bd2aa2caace0,BwE1YUXBkG0EIOLzyrIKLw==,9565524352,cp.model.PhoneNumberMask
651ed8a6-d865-4105-a247-925d289c9de8,BnEi6dyrhbcS6zjHlPpMEA==,0895843867,cp.model.PhoneNumberMask
3893aa4f-bca5-4fe3-a338-fe6e9052c78d,/KFo7ork4B14BehrFhykFA==,6452939951,cp.model.PhoneNumberMask
6f15b64f-93fd-48bd-bc1b-97aeee1a783f,obEIzsw3LXRjXAVzNiJQuA==,3762198967,cp.model.PhoneNumberMask
ce540dd8-7745-4f8d-8a22-9c6d6ecbd2f0,49a19zXu8/DVJ9yOGxBibA==,3832247331,cp.model.PhoneNumberMask
ffd10c39-021a-4250-9d58-9e76f6f92cc8,+yb7tlAYnwRmjMi2CryLVA==,7430002842,cp.model.PhoneNumberMask
063387b3-9093-4f43-a9e6-2d029f690a28,41Omw5QCIpWAnei3waBKQQ==,5331951598,cp.model.PhoneNumberMask
9ac08efe-09c7-4d74-9939-2b93bfeac9d1,VBs93bZEDZDtBeWUhz23Uw==,7404941608,cp.model.PhoneNumberMask
f46f0abf-2d14-45f9-9703-d7e93db57ef2,kQNAJMHymOGuRWk4fhhQTw==,9555000056,cp.model.PhoneNumberMask
07e73f94-3957-465d-bf8f-084cbc094173,/n8g5fUGNn1VZLOYJxxV6w==,6807622864,cp.model.PhoneNumberMask
0b9d7f7c-9132-40e0-9cdb-4fd43eb7a929,L+clpdv6Kgi4mAXayI2UXQ==,7845727803,cp.model.PhoneNumberMask
9a1dd92f-8f0c-4258-8f94-c862c02904d7,Cq7D0DMpkicKl9t0t7P29g==,0249466774,cp.model.PhoneNumberMask
